Epic / Phân Hệ,Mã US,Tên Chức Năng (User Story chuẩn Agile),Story Points,Độ Ưu Tiên,Acceptance Criteria (Tiêu Chí Nghiệm Thu Chi Tiết),Trạng Thái,Người Phụ Trách (Dev),Người Phụ Trách (Tester),Sprint Dự Kiến,Ghi Chú
1. XÁC THỰC & BẢO MẬT (AUTH),US-01,"Là Nhân viên, tôi muốn đăng nhập hệ thống bằng Email và Mật khẩu để tôi truy cập vào đúng các chức năng nghiệp vụ của mình.",3,Cao,"1. Có form kiểm tra định dạng email hợp lệ.
2. Mật khẩu nhập vào phải được ẩn.
3. Khóa tài khoản tạm thời trong 15 phút nếu nhập sai quá 5 lần liên tiếp.",Done,Kha,Thuận,1,Đã tích hợp mã hóa BCrypt
1. XÁC THỰC & BẢO MẬT (AUTH),US-02,"Là Người dùng, tôi muốn đăng nhập nhanh thông qua liên kết tài khoản Google OAuth2 để rút ngắn thời gian truy cập.",3,Cao,"1. Hiển thị nút 'Đăng nhập bằng Google' ở trang chủ.
2. Tự động ánh xạ thông tin email Google với tài khoản nhân viên trong DB.
3. Từ chối đăng nhập nếu email Google chưa được khai báo.",Done,Kha,Thuận,1,Sử dụng Spring Security OAuth2
1. XÁC THỰC & BẢO MẬT (AUTH),US-03,"Là Người quản lý, tôi muốn kích hoạt xác thực 2 yếu tố (2FA TOTP) bằng Google Authenticator để gia tăng bảo mật dữ liệu nhạy cảm.",5,Trung bình,"1. Hiển thị mã QR và khóa bí mật (Secret Key) khi kích hoạt 2FA.
2. Yêu cầu nhập mã OTP 6 số từ Google Authenticator để xác nhận bật thành công.
3. Cho phép tắt 2FA sau khi nhập mật khẩu xác nhận.",Done,Kha,Thuận,1,Sử dụng thư viện Google TOTP
1. XÁC THỰC & BẢO MẬT (AUTH),US-04,"Là Người dùng, tôi muốn nhận mã xác thực OTP gửi qua Email khi đăng nhập từ thiết bị lạ để ngăn chặn truy cập trái phép.",3,Trung bình,"1. Tự động quét IP đăng nhập.
2. Nếu phát hiện IP lạ, yêu cầu nhập mã OTP gửi qua email đăng ký.
3. Mã OTP qua email có hiệu lực trong vòng 3 phút.",Done,Kha,Thuận,1,Sử dụng JavaMailSender
1. XÁC THỰC & BẢO MẬT (AUTH),US-05,"Là Người dùng quên mật khẩu, tôi muốn yêu cầu đặt lại mật khẩu qua email xác nhận để tôi chủ động lấy lại quyền truy cập.",3,Cao,"1. Có trang 'Quên mật khẩu' yêu cầu nhập email.
2. Gửi link reset mật khẩu chứa token bảo mật dùng 1 lần (hạn dùng 15 phút).
3. Cho phép nhập mật khẩu mới và xác nhận mật khẩu mới.",Done,Dũng,Lộc,1,Token hết hạn sau 15 phút
1. XÁC THỰC & BẢO MẬT (AUTH),US-06,"Là Quản trị viên (Admin), tôi muốn thiết lập phân quyền vai trò chi tiết (RBAC) để giới hạn quyền truy cập các endpoint nghiệp vụ.",5,Cao,"1. Định nghĩa các role: ADMIN, MANAGER, CASHIER, KITCHEN, HR, WAREHOUSE.
2. Giới hạn truy cập API bằng Spring Security `@PreAuthorize`.
3. Trả về mã lỗi 403 Forbidden nếu người dùng không đủ thẩm quyền.",Done,Dũng,Lộc,1,Phân quyền theo Role-based
1. XÁC THỰC & BẢO MẬT (AUTH),US-07,"Là Quản trị viên (Admin), tôi muốn hệ thống tự động ghi nhật ký kiểm toán (Audit Logs) để tôi theo dõi hoạt động nhạy cảm.",3,Cao,"1. Ghi nhận: ID người dùng, Hành động, Kiểu thực thể tác động, Chi tiết thay đổi, Địa chỉ IP, Thời điểm.
2. Lưu vết khi thêm/sửa/xóa hóa đơn, điều chỉnh kho, thăng hạng thẻ khách.
3. Không cho phép bất kỳ ai sửa hoặc xóa bản ghi trong bảng audit_logs.",Done,Dũng,Lộc,1,"Lưu trữ bảo mật, chỉ đọc"
2. SƠ ĐỒ BÀN & POS (POS),US-08,"Là Thu ngân, tôi muốn xem sơ đồ khu vực và bàn ăn thời gian thực để tôi nắm rõ trạng thái trống/đầy và phục vụ khách.",5,Cao,"1. Hiển thị danh sách các khu vực (Sân trước, Phòng lạnh, Lầu 1...).
2. Mỗi bàn ăn hiển thị màu sắc theo trạng thái: Xám (Trống), Đỏ (Đang ăn), Vàng (Đặt trước).
3. Tự động đồng bộ trạng thái bàn khi có thay đổi từ các máy POS khác.",In Progress,Thuận,Kha,1,Đồng bộ WebSocket
2. SƠ ĐỒ BÀN & POS (POS),US-09,"Là Thu ngân, tôi muốn mở phiên làm việc của bàn (Table Session) để bắt đầu gọi món phục vụ khách ngồi tại bàn.",3,Cao,"1. Cho phép nhấp vào bàn trống để 'Mở bàn'.
2. Cho phép nhập số lượng khách ngồi thực tế (guest_count).
3. Trạng thái bàn chuyển từ EMPTY sang OCCUPIED, tạo bản ghi table_sessions với trạng thái ACTIVE.",In Progress,Thuận,Kha,1,Lưu table_sessions
2. SƠ ĐỒ BÀN & POS (POS),US-10,"Là Thu ngân, tôi muốn thêm món ăn vào giỏ hàng bàn ăn để ghi nhận yêu cầu gọi món của khách hàng.",3,Cao,"1. Hiển thị thực đơn trực quan phân loại theo Danh mục.
2. Nhấp vào món ăn để thêm vào giỏ hàng bàn hiện tại.
3. Tự động tính toán tổng tiền tạm tính của giỏ hàng.",In Progress,Lộc,Dũng,1,Tích hợp giỏ hàng POS
